"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"diaphanous.s.01.see-through.1950.1",see-through,diaphanous.s.01,1950,NA,NA,NA,NA
"record.v.02.tape.1950.1",tape,record.v.02,1950,NA,NA,NA,NA
"masturbate.v.02.wank.1950.1",wank,masturbate.v.02,1950,NA,NA,NA,NA
"air.v.03.air.1952.1",air,air.v.03,1952,0,0,0,0
"automatize.v.02.automatize.1952.1",automatize,automatize.v.02,1952,NA,NA,NA,NA
"stubbornly.r.01.cussedly.1952.1",cussedly,stubbornly.r.01,1952,NA,NA,NA,NA
"bathetic.s.01.drippy.1952.1",drippy,bathetic.s.01,1952,NA,NA,NA,NA
"blend.v.03.meld.1952.1",meld,blend.v.03,1952,NA,NA,NA,NA
"organize.v.05.organize.1952.1",organize,organize.v.05,1952,NA,NA,NA,NA
"run.v.19.run.1952.1",run,run.v.19,1952,NA,NA,NA,NA
"short-handed.s.01.short-staffed.1952.1",short-staffed,short-handed.s.01,1952,NA,NA,NA,NA
"bathetic.s.01.soupy.1952.1",soupy,bathetic.s.01,1952,NA,NA,NA,NA
"squelch.v.03.squish.1952.1",squish,squelch.v.03,1952,NA,NA,NA,NA
"adolescent.s.02.teenaged.1952.1",teenaged,adolescent.s.02,1952,NA,NA,NA,NA
"arch.v.01.arc.1954.1",arc,arch.v.01,1954,0,0,0,0
"assaultive.s.01.assaultive.1954.1",assaultive,assaultive.s.01,1954,NA,NA,NA,NA
"jeer.v.01.barrack.1954.1",barrack,jeer.v.01,1954,NA,NA,NA,NA
"coincident.s.01.co-occurrent.1954.1",co-occurrent,coincident.s.01,1954,NA,NA,NA,NA
"adjourn.v.01.recess.1954.1",recess,adjourn.v.01,1954,NA,NA,NA,NA
"frosty.s.02.rimed.1954.1",rimed,frosty.s.02,1954,NA,NA,NA,NA
"feasible.s.01.viable.1954.1",viable,feasible.s.01,1954,NA,NA,NA,NA
"crucial.a.01.crucial.1956.1",crucial,crucial.a.01,1956,NA,NA,NA,NA
"localize.v.02.localize.1956.1",localize,localize.v.02,1956,NA,NA,NA,NA
"understand.v.03.read.1956.1",read,understand.v.03,1956,1,0,1,1
"lease.v.04.rent.1956.1",rent,lease.v.04,1956,1,1,0,1
"fricative.s.01.strident.1956.1",strident,fricative.s.01,1956,NA,NA,NA,NA
"bid.v.04.call.1958.1",call,bid.v.04,1958,NA,NA,NA,NA
"destroy.v.01.destruct.1958.1",destruct,destroy.v.01,1958,NA,NA,NA,NA
"ambidextrous.s.02.duplicitous.1958.1",duplicitous,ambidextrous.s.02,1958,NA,NA,NA,NA
"excellent.s.01.fantabulous.1958.1",fantabulous,excellent.s.01,1958,NA,NA,NA,NA
"hook.v.12.hook.1958.1",hook,hook.v.12,1958,NA,NA,NA,NA
"popular.s.04.pop.1958.1",pop,popular.s.04,1958,NA,NA,NA,NA
"tag.v.01.tag.1958.1",tag,tag.v.01,1958,NA,NA,NA,NA
